Date,Close,High,Low,Open,Volume,Shares,Cash,Position_value,Total_value,Portfolio_return,Portfolio_return_1d%
2015-04-01,11.837668418884276,11.893680856775864,11.76709305482639,11.885839149658322,3760000,8563.0,5.822615623474121,101365.95467090605,101371.77728652953,1.3717772865295297,-0.7978902360814111
2015-04-02,11.83654499053955,11.89255741047279,11.815259997466775,11.846626815880317,4303200,8563.0,5.822615623474121,101356.33475399017,101362.15736961365,1.362157369613648,-0.00948973883400095
2015-04-06,11.9474458694458,11.96873000164935,11.731237957170183,11.77156695617258,2370400,8563.0,5.822615623474121,102305.97898006439,102311.80159568787,2.311801595687868,0.936882413237683
2015-04-07,11.934008598327637,12.026989440362147,11.934008598327637,11.936249574224451,3284800,8563.0,5.822615623474121,102190.91562747955,102196.73824310303,2.1967382431030247,-0.11246342141402188
2015-04-08,11.976573944091797,12.01130136487386,11.885833258498891,11.885833258498891,1878400,8563.0,5.822615623474121,102555.40268325806,102561.22529888153,2.56122529888152,0.35665233748602976
2015-04-09,12.025869369506836,12.032591442748538,11.921686208420518,11.97545852094458,1864800,8563.0,5.822615623474121,102977.51941108704,102983.34202671051,2.9833420267105115,0.41157535569495973
2015-04-10,12.078516006469728,12.078516006469728,11.994497391829652,12.011301285693976,1397600,8563.0,5.822615623474121,103428.33256340028,103434.15517902376,3.434155179023768,0.43775346909631363
2015-04-13,12.02810764312744,12.134530901596282,12.022506059131516,12.0785184803639,2140800,8563.0,5.822615623474121,102996.68574810027,103002.50836372374,3.0025083637237326,-0.41731555166948375
2015-04-14,11.984417915344238,12.067316058713022,11.919443302174406,12.067316058713022,2583200,8563.0,5.822615623474121,102622.57060909271,102628.39322471619,2.6283932247161967,-0.3632097362973652
2015-04-15,12.093077659606934,12.126685443818042,12.011300028538136,12.020262218285293,2560000,8563.0,5.822615623474121,103553.02399921417,103558.84661483765,3.558846614837652,0.9066237528284393
2015-04-16,12.068435668945312,12.09644187727374,12.039308972972886,12.061713597762967,2086400,8563.0,5.822615623474121,103342.01463317871,103347.83724880219,3.347837248802188,-0.20375793370919215
2015-04-17,11.88359546661377,11.986658116322086,11.844386942777096,11.986658116322086,2243200,8563.0,5.822615623474121,101759.22798061371,101765.05059623718,1.765050596237172,-1.5315140545752892
2015-04-20,12.077399253845217,12.09532364075861,11.94184928286946,11.94184928286946,2413600,8563.0,5.822615623474121,103418.76981067659,103424.59242630006,3.424592426300066,1.6307581240707858
2015-04-21,12.087480545043944,12.162536983577906,12.078518352617936,12.137891381747243,1724000,8563.0,5.822615623474121,103505.09590721129,103510.91852283476,3.5109185228347606,0.08346766906159875
2015-04-22,12.203989028930664,12.219672441607706,12.062837460155398,12.119970380439987,2055200,8563.0,5.822615623474121,104502.75805473328,104508.58067035675,4.508580670356754,0.96382310364862
2015-04-23,12.233111381530762,12.27904197315703,12.146852636464123,12.159175436428164,1908000,8563.0,5.822615623474121,104752.13276004791,104757.95537567139,4.7579553756713855,0.23861648844052397
2015-04-24,12.302570343017578,12.345139483004091,12.25439961804358,12.341778873884351,2027200,8563.0,5.822615623474121,105346.90984725952,105352.732462883,5.352732462882992,0.5677631689914975
2015-04-27,12.330574035644531,12.401149376764373,12.301447338096567,12.33505513178127,4808000,8563.0,5.822615623474121,105586.70546722412,105592.5280828476,5.592528082847603,0.22761215049555972
2015-04-28,12.344019889831545,12.402272442353906,12.231995027173104,12.35634269309852,1901600,8563.0,5.822615623474121,105701.84231662752,105707.66493225099,5.707664932250989,0.10903882262678355
2015-04-29,12.286885261535645,12.34849926930041,12.201746138446628,12.277923068645904,1815200,8563.0,5.822615623474121,105212.59849452972,105218.4211101532,5.218421110153204,-0.46282719650589943
2015-04-30,12.086360931396484,12.247676988004024,12.043791796316947,12.221910896586296,1813600,8563.0,5.822615623474121,103495.5086555481,103501.33127117157,3.5013312711715594,-1.6319289159300365
2015-05-01,12.240957260131836,12.240957260131836,12.116610439811843,12.126692267939708,2328800,8563.0,5.822615623474121,104819.31701850891,104825.13963413239,4.8251396341323805,1.2790254450857796
2015-05-04,12.249917984008787,12.31377211853042,12.244317253948688,12.265601395668009,1974400,8563.0,5.822615623474121,104896.04769706725,104901.87031269072,4.901870312690715,0.07319873727442694
2015-05-05,12.058354377746582,12.217429454242174,12.044911088515867,12.211828724740688,1913600,8563.0,5.822615623474121,103255.68853664398,103261.51115226746,3.261511152267449,-1.5637082118113765
2015-05-06,11.990019798278809,12.130050863576248,11.904880671267064,12.08300063075994,2106400,8563.0,5.822615623474121,102670.53953266144,102676.36214828491,2.6763621482849054,-0.5666670935308038
2015-05-07,12.076279640197754,12.113247192573224,11.977697221378332,11.977697221378332,1782400,8563.0,5.822615623474121,103409.18255901337,103415.00517463684,3.4150051746368426,0.7193895565614117
2015-05-08,12.246557235717772,12.25663991720219,12.191665295534964,12.196146392341168,1459200,8563.0,5.822615623474121,104867.26960945128,104873.09222507475,4.873092225074749,1.4099376081601056
2015-05-11,12.198383331298828,12.259997327959056,12.197262843719114,12.239832824932218,3669600,8563.0,5.822615623474121,104454.75646591187,104460.57908153534,4.460579081535343,-0.3933450752592438
2015-05-12,12.13453197479248,12.184942816487348,12.03146931573349,12.137892583614564,1985600,8563.0,5.822615623474121,103907.99730014801,103913.81991577148,3.913819915771488,-0.5234119613075183
2015-05-13,12.19278049468994,12.255514972480912,12.16701526577635,12.16701526577635,1553600,8563.0,5.822615623474121,104406.77937602995,104412.60199165343,4.412601991653431,0.4799959007244947
2015-05-14,12.386587142944336,12.39330836018171,12.27008120096662,12.277922905970804,1894400,8563.0,5.822615623474121,106066.34570503235,106072.16832065582,6.072168320655824,1.5894310622917462
2015-05-15,12.351858139038086,12.425794083265163,12.32273144358784,12.422433475075064,1465600,8563.0,5.822615623474121,105768.96124458313,105774.7838602066,5.7747838602066,-0.28036049904272
2015-05-18,12.415714263916016,12.438118891922928,12.310410631983626,12.328335018134574,2245600,8563.0,5.822615623474121,106315.76124191284,106321.58385753632,6.321583857536317,0.5169474021827103
2015-05-19,12.400030136108398,12.450440973548876,12.385466359532735,12.425795371357808,1998400,8563.0,5.822615623474121,106181.45805549622,106187.28067111969,6.187280671119688,-0.12631789477156596
