Date,Close,High,Low,Open,Volume,RSI,Trade,Shares,Cash,Position_value,Total_value,Portfolio_return,Portfolio_return_1d%
2016-09-15,13.647320747375488,13.6656142893125,13.432366613742929,13.446086552114265,2824000,60.04501051353485,0,0.0,114513.5727434158,0.0,114513.5727434158,14.513572743415804,0.0
2016-09-16,13.597010612487791,13.651892977428496,13.537555516767162,13.651892977428496,1879200,57.59101516430872,0,0.0,114513.5727434158,0.0,114513.5727434158,14.513572743415804,0.0
2016-09-19,13.582145690917969,13.722780264887897,13.554704947369656,13.641600780660232,1714400,56.8516958402704,0,0.0,114513.5727434158,0.0,114513.5727434158,14.513572743415804,0.0
2016-09-20,13.579049110412598,13.665094115315366,13.565281594521934,13.63411742338514,2360000,56.688437173858254,0,0.0,114513.5727434158,0.0,114513.5727434158,14.513572743415804,0.0
2016-09-21,13.732782363891602,13.745402367904688,13.583638214647474,13.638706527345445,2707200,62.45313593040572,0,0.0,114513.5727434158,0.0,114513.5727434158,14.513572743415804,0.0
2016-09-22,13.826858520507812,13.840626036648526,13.794735191474553,13.808502707615265,7397600,65.4809424778465,0,0.0,114513.5727434158,0.0,114513.5727434158,14.513572743415804,0.0
2016-09-23,13.702956199645996,13.802767860237468,13.677716187677287,13.802767860237468,11072800,58.76013025498333,0,0.0,114513.5727434158,0.0,114513.5727434158,14.513572743415804,0.0
2016-09-26,13.61575984954834,13.662797324323856,13.582489013587638,13.631821511695584,3640000,54.51921148364952,0,0.0,114513.5727434158,0.0,114513.5727434158,14.513572743415804,0.0
2016-09-27,13.77064609527588,13.771793607394743,13.61117604726985,13.62723771575281,2636800,60.036659139824096,0,0.0,114513.5727434158,0.0,114513.5727434158,14.513572743415804,0.0
2016-09-28,13.814239501953123,13.821122822430985,13.728194494799578,13.782115297367938,1854400,61.45402482063427,0,0.0,114513.5727434158,0.0,114513.5727434158,14.513572743415804,0.0
2016-09-29,13.732782363891602,13.83030073586455,13.686892395074976,13.803913216029448,2257600,57.36024795575378,0,0.0,114513.5727434158,0.0,114513.5727434158,14.513572743415804,0.0
2016-09-30,13.809648513793944,13.850950181819766,13.737370157101282,13.7649051859818,3331200,60.06377962074296,0,0.0,114513.5727434158,0.0,114513.5727434158,14.513572743415804,0.0
2016-10-03,13.769497871398926,13.815388725533223,13.73622789932918,13.78785456317074,3120000,57.99529817903947,0,0.0,114513.5727434158,0.0,114513.5727434158,14.513572743415804,0.0
2016-10-04,13.74081325531006,13.844067436183511,13.692628262667466,13.805060787461905,2856000,56.4983191187156,0,0.0,114513.5727434158,0.0,114513.5727434158,14.513572743415804,0.0
2016-10-05,13.811944007873535,13.857834851851548,13.762611503773805,13.771789847628416,8971200,59.30357357115577,0,0.0,114513.5727434158,0.0,114513.5727434158,14.513572743415804,0.0
2016-10-06,13.832592010498049,13.846359523459894,13.747694535470488,13.815382838119454,2516800,60.10776586658957,0,0.0,114513.5727434158,0.0,114513.5727434158,14.513572743415804,0.0
2016-10-07,13.787854194641112,13.861279209175349,13.72360752574746,13.844070029923058,2225600,57.45841960203296,0,0.0,114513.5727434158,0.0,114513.5727434158,14.513572743415804,0.0
2016-10-10,13.876191139221191,13.92208198476996,13.78785198365825,13.78785198365825,2013600,61.10398985350712,0,0.0,114513.5727434158,0.0,114513.5727434158,14.513572743415804,0.0
2016-10-11,13.692630767822266,13.90143331610366,13.631825759987413,13.883077500198429,2281600,51.2717734434645,0,0.0,114513.5727434158,0.0,114513.5727434158,14.513572743415804,0.0
2016-10-12,13.69721794128418,13.738519615161298,13.618056253803855,13.702954625270758,1602400,51.4818786213464,0,0.0,114513.5727434158,0.0,114513.5727434158,14.513572743415804,0.0
2016-10-13,13.608879089355469,13.647885740392748,13.480384892718636,13.60543655370944,1905600,47.25611289734692,0,0.0,114513.5727434158,0.0,114513.5727434158,14.513572743415804,0.0
2016-10-14,13.659356117248535,13.754579456916124,13.642147818159788,13.663945288770524,3529600,49.79211531045103,0,0.0,114513.5727434158,0.0,114513.5727434158,14.513572743415804,0.0
2016-10-17,13.62379264831543,13.68230349761397,13.614614304249958,13.65476846541756,2007200,48.03956061781544,0,0.0,114513.5727434158,0.0,114513.5727434158,14.513572743415804,0.0
2016-10-18,13.7098388671875,13.766054697794582,13.68804051692765,13.724753021141789,3046400,52.40460161990232,0,0.0,114513.5727434158,0.0,114513.5727434158,14.513572743415804,0.0
2016-10-19,13.723607063293455,13.744257902641277,13.690336217938905,13.697219539289785,1781600,53.083756275423134,0,0.0,114513.5727434158,0.0,114513.5727434158,14.513572743415804,0.0
2016-10-20,13.689187049865724,13.717868719084793,13.619203706947587,13.715574570677104,5438400,51.1198883026936,0,0.0,114513.5727434158,0.0,114513.5727434158,14.513572743415804,0.0
2016-10-21,13.759172439575195,13.76490912439042,13.660507412760746,13.714429098961109,3087200,54.78286936984856,0,0.0,114513.5727434158,0.0,114513.5727434158,14.513572743415804,0.0
2016-10-24,13.91749668121338,13.927822540097203,13.836040823487885,13.836040823487885,1892800,61.76364505980787,0,0.0,114513.5727434158,0.0,114513.5727434158,14.513572743415804,0.0
2016-10-25,13.865866661071776,13.930113321991632,13.83374333061185,13.930113321991632,2868000,58.58718862468039,0,0.0,114513.5727434158,0.0,114513.5727434158,14.513572743415804,0.0
2016-10-26,13.795883178710938,13.86816067152643,13.748844820080546,13.7694956573557,3596800,54.49597330964688,0,0.0,114513.5727434158,0.0,114513.5727434158,14.513572743415804,0.0
2016-10-27,13.727051734924316,13.855545096566024,13.714431726149453,13.852103435135676,2659200,50.742787926349656,0,0.0,114513.5727434158,0.0,114513.5727434158,14.513572743415804,0.0
2016-10-28,13.733932495117188,13.873899202470296,13.698367499912624,13.766055829533595,3728800,51.10530757258415,0,0.0,114513.5727434158,0.0,114513.5727434158,14.513572743415804,0.0
2016-10-31,13.735078811645508,13.783263809076104,13.731637151156914,13.767202143265903,4361600,51.16978432848893,0,0.0,114513.5727434158,0.0,114513.5727434158,14.513572743415804,0.0
2016-11-01,13.62379264831543,13.771790164014645,13.517096805615768,13.748844303850966,2857600,44.969886279856446,0,0.0,114513.5727434158,0.0,114513.5727434158,14.513572743415804,0.0
2016-11-02,13.518243789672852,13.654767932312565,13.48497295020577,13.614613772712648,2848800,40.01746490910188,0,0.0,114513.5727434158,0.0,114513.5727434158,14.513572743415804,0.0
2016-11-03,13.414992332458496,13.52054068061608,13.392047343831267,13.482680661615468,2418400,35.85738437604755,0,0.0,114513.5727434158,0.0,114513.5727434158,14.513572743415804,0.0
2016-11-04,13.3771333694458,13.494155096449878,13.347304181639528,13.405815045141566,8287200,34.4434913882307,0,0.0,114513.5727434158,0.0,114513.5727434158,14.513572743415804,0.0
2016-11-07,13.684593200683594,13.691476518849187,13.572161585936565,13.577897392642964,2650400,51.25401204013361,0,0.0,114513.5727434158,0.0,114513.5727434158,14.513572743415804,0.0
2016-11-08,13.752284049987791,13.811941523722966,13.634114863526872,13.68115321085038,2680000,54.04782715356868,0,0.0,114513.5727434158,0.0,114513.5727434158,14.513572743415804,0.0
2016-11-09,13.732782363891602,13.763759055667377,13.465469881884072,13.471205690338628,4896000,53.10352919225003,0,0.0,114513.5727434158,0.0,114513.5727434158,14.513572743415804,0.0
2016-11-10,13.543484687805176,13.84177387554147,13.35992130277199,13.806208010161368,5016000,44.90264720303112,0,0.0,114513.5727434158,0.0,114513.5727434158,14.513572743415804,0.0
2016-11-11,13.62608814239502,13.638708147907623,13.481533147915425,13.526276485534607,15759200,48.63067104971237,0,0.0,114513.5727434158,0.0,114513.5727434158,14.513572743415804,0.0
2016-11-14,13.436787605285645,13.637559273299768,13.365656756368724,13.6364117615428,3823200,41.67194089245584,0,0.0,114513.5727434158,0.0,114513.5727434158,14.513572743415804,0.0
2016-11-15,13.616910934448242,13.666243445501603,13.519392549013684,13.52283508491569,5705600,49.13087549116565,0,0.0,114513.5727434158,0.0,114513.5727434158,14.513572743415804,0.0
2016-11-16,13.735078811645508,13.739667984062011,13.566430445343276,13.569872105831871,4983200,53.34592792715476,0,0.0,114513.5727434158,0.0,114513.5727434158,14.513572743415804,0.0
2016-11-17,13.844069480895996,13.844069480895996,13.705250290944512,13.743110308739055,3223200,56.89376282682279,0,0.0,114513.5727434158,0.0,114513.5727434158,14.513572743415804,0.0
2016-11-18,13.811944007873535,13.888810668242057,13.79358819545936,13.857834851851548,2699200,55.55277601575376,0,0.0,114513.5727434158,0.0,114513.5727434158,14.513572743415804,0.0
2016-11-21,13.947322845458984,13.956501190188346,13.834890310762118,13.85668866067057,2871200,59.8477064990146,0,0.0,114513.5727434158,0.0,114513.5727434158,14.513572743415804,0.0
2016-11-22,13.96567726135254,13.993211415763028,13.932406423596326,13.993211415763028,3548800,60.40632051859582,0,0.0,114513.5727434158,0.0,114513.5727434158,14.513572743415804,0.0
2016-11-23,13.916345596313477,13.967972248345404,13.860128897093333,13.945027264174556,2254400,58.06797831068428,0,0.0,114513.5727434158,0.0,114513.5727434158,14.513572743415804,0.0
2016-11-25,13.953058242797852,13.96108907487155,13.90487237506062,13.915198230752544,1176800,59.329739717965424,0,0.0,114513.5727434158,0.0,114513.5727434158,14.513572743415804,0.0
2016-11-28,13.943883895874023,14.01616140525536,13.927822227122617,13.947325556992856,2569600,58.85314931227641,0,0.0,114513.5727434158,0.0,114513.5727434158,14.513572743415804,0.0
2016-11-29,13.961091995239258,14.02648617731704,13.904875283668972,13.942735303633802,1882400,59.51014348817161,0,0.0,114513.5727434158,0.0,114513.5727434158,14.513572743415804,0.0
2016-11-30,13.807357788085938,13.984037006235145,13.806210276035,13.982889494184208,4689600,51.585577178086986,0,0.0,114513.5727434158,0.0,114513.5727434158,14.513572743415804,0.0
2016-12-01,13.4723539352417,13.82456480437454,13.437935581461318,13.808503139355722,5433600,39.30333013496363,0,0.0,114513.5727434158,0.0,114513.5727434158,14.513572743415804,0.0
2016-12-02,13.522835731506348,13.554959065766331,13.410403186301185,13.460883211735569,3889600,41.56130811124009,0,0.0,114513.5727434158,0.0,114513.5727434158,14.513572743415804,0.0
2016-12-05,13.674273490905762,13.715575166398724,13.552662612934212,13.599700972638184,3611200,47.83106714170298,0,0.0,114513.5727434158,0.0,114513.5727434158,14.513572743415804,0.0
2016-12-06,13.71786880493164,13.744256325908156,13.6455913131535,13.712132120933894,3047200,49.5104218045387,0,0.0,114513.5727434158,0.0,114513.5727434158,14.513572743415804,0.0
2016-12-07,13.959940910339355,13.978296721951669,13.704100057162377,13.722456744069696,3448800,57.66056359778375,0,0.0,114513.5727434158,0.0,114513.5727434158,14.513572743415804,0.0
2016-12-08,14.039105415344238,14.083848754563844,13.956502058232603,13.974857873537864,3229600,59.93810036709476,0,0.0,114513.5727434158,0.0,114513.5727434158,14.513572743415804,0.0
2016-12-09,14.11367893218994,14.12056312972402,14.054021430431511,14.07926144570076,3878400,62.011175250887305,0,0.0,114513.5727434158,0.0,114513.5727434158,14.513572743415804,0.0
2016-12-12,14.044842720031738,14.084996890876424,13.98518521981896,14.06205190047811,3736000,58.97738210575313,0,0.0,114513.5727434158,0.0,114513.5727434158,14.513572743415804,0.0
2016-12-13,14.20545768737793,14.283471865914407,14.084994321523256,14.084994321523256,4452000,63.46834147199196,0,0.0,114513.5727434158,0.0,114513.5727434158,14.513572743415804,0.0
2016-12-14,14.16320514678955,14.271426962587087,14.139028100819912,14.21386231645934,4297600,61.55910574171866,0,0.0,114513.5727434158,0.0,114513.5727434158,14.513572743415804,0.0
2016-12-15,14.22537326812744,14.302510551726645,14.16550643021912,14.185078196615429,3705600,63.30803780743688,0,0.0,114513.5727434158,0.0,114513.5727434158,14.513572743415804,0.0
2016-12-16,14.125214576721191,14.259915651477597,14.099885989324216,14.25646191289926,3347200,58.67626250588574,0,0.0,114513.5727434158,0.0,114513.5727434158,14.513572743415804,0.0
2016-12-19,14.208107948303224,14.263369522804686,14.122911630199228,14.165509789251225,3508800,61.20596488981334,0,0.0,114513.5727434158,0.0,114513.5727434158,14.513572743415804,0.0
2016-12-20,14.25645923614502,14.27948474125531,14.213861085487595,14.248400221519748,3043200,62.64251376402751,0,0.0,114513.5727434158,0.0,114513.5727434158,14.513572743415804,0.0
2016-12-21,14.215018272399902,14.261070179285309,14.193143418996746,14.261070179285309,2960000,60.57220408457084,0,0.0,114513.5727434158,0.0,114513.5727434158,14.513572743415804,0.0
2016-12-22,14.160902976989746,14.238039392153937,14.118304822554236,14.238039392153937,2916800,57.88200410279219,0,0.0,114513.5727434158,0.0,114513.5727434158,14.513572743415804,0.0
2016-12-23,14.180476188659668,14.18162772764449,14.130970552714963,14.141332646844589,1778400,58.59824105495069,0,0.0,114513.5727434158,0.0,114513.5727434158,14.513572743415804,0.0
2016-12-27,14.25185203552246,14.31632414382124,14.190833664687316,14.200043338468143,2497600,61.19006672171741,0,0.0,114513.5727434158,0.0,114513.5727434158,14.513572743415804,0.0
2016-12-28,14.109095573425291,14.285243255732626,14.103338757279676,14.280637978489496,2376800,53.91959188084641,0,0.0,114513.5727434158,0.0,114513.5727434158,14.513572743415804,0.0
2016-12-29,14.117152214050291,14.156295746481469,14.065343512556082,14.098731108176793,2029600,54.24997366673883,0,0.0,114513.5727434158,0.0,114513.5727434158,14.513572743415804,0.0
2016-12-30,13.988208770751951,14.144784675821482,13.953669632316965,14.136725660635555,3452000,48.28336855194649,0,0.0,114513.5727434158,0.0,114513.5727434158,14.513572743415804,0.0
2017-01-03,14.09873390197754,14.173568122276077,14.01469000528394,14.079162131883615,3480000,53.04998252524664,0,0.0,114513.5727434158,0.0,114513.5727434158,14.513572743415804,0.0
2017-01-04,14.183927536010742,14.204650842409407,14.116001679594788,14.116001679594788,3580800,56.38677175282125,0,0.0,114513.5727434158,0.0,114513.5727434158,14.513572743415804,0.0
2017-01-05,14.194289207458496,14.247248571491957,14.145935120084472,14.165506887112048,4635200,56.78902030187639,0,0.0,114513.5727434158,0.0,114513.5727434158,14.513572743415804,0.0
