Date,Close,High,Low,Open,Volume,Trade,Shares,Cash,Position_value,Total_value,Portfolio_return,Portfolio_return_1d%
2020-01-22,31.04498672485352,31.260841628808613,31.01517247138529,31.134429485258178,6104000,0,7409.0,9.920431137084961,230012.30664443973,230022.2270755768,130.02222707557684,0.4127063537934683
2020-01-23,31.198820114135746,31.198820114135746,30.93645691384962,31.062869034960165,3712800,0,7409.0,9.920431137084961,231152.05822563174,231161.97865676883,131.1619786567688,0.49549628124307965
2020-01-24,31.037830352783203,31.48265666748485,30.91737960897376,31.423028162935235,6326400,0,7409.0,9.920431137084961,229959.28508377075,229969.20551490784,129.96920551490786,-0.5159901938856626
2020-01-27,30.2972412109375,30.52382878302805,29.985980368179685,30.298433125839114,8578400,0,7409.0,9.920431137084961,224472.26013183594,224482.18056297302,124.48218056297304,-2.3859824795451234
2020-01-28,30.87325668334961,30.943617885599195,30.49163277886054,30.54649362625672,4979200,0,7409.0,9.920431137084961,228739.95876693726,228749.87919807434,128.74987919807435,1.9011302475762104
2020-01-29,30.90426254272461,31.17020333911181,30.81362605278008,31.10461344103197,5184000,0,7409.0,9.920431137084961,228969.68117904663,228979.60161018372,128.97960161018372,0.10042515122399287
2020-01-30,31.15111541748047,31.16900323699026,30.69436277530382,30.873248249270297,4530400,0,7409.0,9.920431137084961,230798.6141281128,230808.53455924988,130.8085345592499,0.7987318242345998
2020-01-31,30.312742233276367,31.006818820334328,30.204219750390376,31.00324125604783,7536800,0,7409.0,9.920431137084961,224587.1072063446,224597.0276374817,124.5970276374817,-2.6911946447862656
2020-02-03,30.693174362182617,30.75519033314741,30.31751552961131,30.34494413085404,7798400,0,7409.0,9.920431137084961,227405.728849411,227415.6492805481,127.4156492805481,1.2549683638805265
2020-02-04,31.49577522277832,31.54705486060816,31.13800421374888,31.21313670795465,6640800,0,7409.0,9.920431137084961,233352.19862556458,233362.11905670166,133.3621190567017,2.6148023651695995
2020-02-05,31.644847869873047,32.03481697668902,31.41826028206466,32.00261889465525,6062400,0,7409.0,9.920431137084961,234456.6778678894,234466.5982990265,134.4665982990265,0.473289858178072
2020-02-06,31.898860931396484,31.898860931396484,31.61980001208852,31.77363890848702,4151200,0,7409.0,9.920431137084961,236338.66064071655,236348.58107185364,136.34858107185366,0.8026656191032266
2020-02-07,31.60071563720703,31.85234611622018,31.531544551234745,31.73547296648704,4628800,0,7409.0,9.920431137084961,234129.7021560669,234139.62258720398,134.13962258720397,-0.9346188898752494
2020-02-10,31.994258880615234,32.00141400746251,31.418249332806607,31.43255958650116,4400800,0,7409.0,9.920431137084961,237045.46404647827,237055.38447761536,137.05538447761535,1.2453090417558155
2020-02-11,31.935834884643555,32.300761034463925,31.84162083018659,32.27690817731899,4290400,0,7409.0,9.920431137084961,236612.6006603241,236622.52109146118,136.6225210914612,-0.1826001071893124
2020-02-12,32.275718688964844,32.28525764834117,31.97280486681641,32.14334151636083,4111200,0,7409.0,9.920431137084961,239130.79976654053,239140.7201976776,139.14072019767764,1.0642263021291454
2020-02-13,32.21012496948242,32.37350648871865,31.99784764005867,32.05151474962513,4100000,0,7409.0,9.920431137084961,238644.81589889526,238654.73633003235,138.65473633003234,-0.20322087649629061
2020-02-14,32.340110778808594,32.40928187345338,32.18269067317008,32.28644731513726,3859200,0,7409.0,9.920431137084961,239607.88076019287,239617.80119132996,139.61780119132996,0.40353896851466065
